"host_state";"host";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending";"sitealias"
"UP";"sis-new.psu.ac.th";"NOT_CSV_EXPORTABLE";"15";"2";"0";"0";"0";"PSU HDY"
"UP";"sis-redis1.in.psu.ac.th";"NOT_CSV_EXPORTABLE";"18";"1";"0";"0";"0";"PSU HDY"
"UP";"sis.psu.ac.th";"NOT_CSV_EXPORTABLE";"16";"1";"0";"1";"0";"PSU HDY"
"UP";"smokeping.psu.ac.th";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SPXF1A01";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SPXOGA01";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SPXOGA02";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SPXSWA01";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SPXSWA02";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SRT-ISP-Link";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"SRT-UniNet";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"sso.psu.ac.th";"NOT_CSV_EXPORTABLE";"2";"0";"0";"0";"0";"PSU HDY"
"UP";"sw1_21_Network";"NOT_CSV_EXPORTABLE";"11";"1";"0";"4";"0";"PSU HDY"
"UP";"sw2_32_Convention";"NOT_CSV_EXPORTABLE";"12";"0";"0";"1";"0";"PSU HDY"
"DOWN";"sw3_11_Banquet";"NOT_CSV_EXPORTABLE";"5";"0";"0";"1";"0";"PSU HDY"
"UP";"sw4_12_Conference";"NOT_CSV_EXPORTABLE";"14";"0";"0";"1";"0";"PSU HDY"
"UP";"sw5_31_SCEB";"NOT_CSV_EXPORTABLE";"10";"0";"0";"2";"0";"PSU HDY"
"UP";"sw6_staff-room";"NOT_CSV_EXPORTABLE";"14";"0";"0";"0";"0";"PSU HDY"
"UP";"sw-adb";"NOT_CSV_EXPORTABLE";"13";"1";"0";"0";"0";"PSU HDY"
"UP";"sw-admin";"NOT_CSV_EXPORTABLE";"9";"0";"0";"3";"0";"PSU HDY"
"UP";"sw-bantaophai";"NOT_CSV_EXPORTABLE";"8";"0";"0";"2";"0";"PSU HDY"
